date,price,opened,high,low,vol,change_per
"Feb 20, 2018",16.445,16.610,16.620,16.420,-,-0.99%
"Feb 19, 2018",16.610,16.600,16.690,16.570,-,0.03%
"Feb 18, 2018",16.605,16.600,16.645,16.595,-,0.03%
"Feb 16, 2018",16.600,16.820,16.915,16.575,-,-1.34%
"Feb 15, 2018",16.825,16.865,16.950,16.605,-,-0.24%
"Feb 14, 2018",16.865,16.570,16.900,16.350,-,1.75%
"Feb 13, 2018",16.575,16.510,16.645,16.410,-,0.39%
"Feb 12, 2018",16.510,16.320,16.580,16.310,-,1.16%
"Feb 11, 2018",16.320,16.295,16.325,16.280,-,0.06%
"Feb 09, 2018",16.310,16.395,16.400,16.130,-,-0.52%
"Feb 08, 2018",16.395,16.355,16.425,16.190,-,0.21%
"Feb 07, 2018",16.360,16.615,16.730,16.210,-,-1.56%
"Feb 06, 2018",16.620,16.740,16.955,16.540,-,-0.75%
"Feb 05, 2018",16.745,16.590,16.865,16.560,-,0.90%
"Feb 04, 2018",16.595,16.555,16.625,16.515,-,0.24%
"Feb 02, 2018",16.555,17.180,17.225,16.520,-,-3.64%
"Feb 01, 2018",17.180,17.340,17.350,17.070,-,-0.95%
"Jan 31, 2018",17.345,17.095,17.375,17.065,-,1.40%
"Jan 30, 2018",17.105,17.155,17.310,17.040,-,-0.29%
"Jan 29, 2018",17.155,17.415,17.470,17.085,-,-1.46%
"Jan 28, 2018",17.410,17.420,17.440,17.365,-,0.14%
"Jan 26, 2018",17.385,17.305,17.530,17.295,-,0.46%
"Jan 25, 2018",17.305,17.520,17.705,17.130,-,-1.20%
"Jan 24, 2018",17.515,17.050,17.625,16.985,-,2.73%
"Jan 23, 2018",17.050,17.015,17.090,16.740,-,0.21%
"Jan 22, 2018",17.015,17.075,17.095,16.945,-,-0.38%
"Jan 21, 2018",17.080,17.060,17.100,17.040,-,0.32%
